Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Commercial Property with Service Charge Included at Lavington,Lavington,,,,22/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Gated Community', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/commercial-property-for-rent-lavington-3708579,commercial-property,rent,"KSh 650,000
 / month"
Office with Service Charge Included at Lower Kabete Rd,"Lower Kabete Rd, Westlands Area, Westlands",,,,18/06/2024,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included']",/listings/office-for-rent-westlands-area-6-3591498,commercial-property,rent,Price not communicated
0.5 ac Commercial Property with Service Charge Included in Riverside,"Riverside, Westlands",,,,27/07/2024,"['CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/05-ac-commercial-property-for-rent-riverside-3708482,commercial-property,rent,"KSh 450,000
 / month"
"2,500 ft² Commercial Property with Backup Generator at Vale Close","VALE CLOSE, Westlands Area, Westlands",,,2500 ft²,22/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Gated Community', 'Lift/Elevator', 'Parking', 'Wheelchair Access']",/listings/2500-ft2-commercial-property-for-rent-westlands-area-3707581,commercial-property,rent,"KSh 430,500
 / month"
Commercial Property with Service Charge Included at Mombasa Road,"mombasa road, Mombasa Road",,,,16/07/2024,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included']",/listings/commercial-property-for-rent-mombasa-road-3706921,commercial-property,rent,"KSh 85
 / month"
Office in Parklands,"Parklands, Westlands",,,,20/07/2024,[],/listings/office-for-rent-parklands-3708189,commercial-property,rent,"KSh 68,000
 / month"
Office in Westlands Area,"Westlands Area, Westlands",,,,22/07/2024,[],/listings/office-for-rent-westlands-area-3708367,commercial-property,rent,"KSh 200
 / month"
Commercial Property with Service Charge Included at Nyali,"Nyali Mombasa, Nyali, Nyali Area",,,,21/07/2024,"['Aircon', 'Balcony', 'Electric Fence', 'Fibre Internet', 'Gated Community', 'Kids Play Area', 'Parking', 'Pet Friendly', 'Service Charge Included']",/listings/commercial-property-for-rent-nyali-area-3708295,commercial-property,rent,"KSh 150,000
 / month"
Commercial Property with Fibre Internet at Nyali,"Nyali Mombasa, Nyali, Nyali Area",,,,21/07/2024,"['Aircon', 'Balcony', 'Electric Fence', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Pet Friendly']",/listings/commercial-property-for-rent-nyali-area-3708294,commercial-property,rent,"KSh 230,000
 / month"
Commercial Property with Service Charge Included at Lantana Road,"Lantana road, Westlands Area, Westlands",,,,20/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/commercial-property-for-rent-westlands-area-3708155,commercial-property,rent,"KSh 200,000
 / month"
Commercial Property with Fibre Internet in Runda,"Runda Nairobi, Runda, Westlands",,,,19/07/2024,"['Balcony', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Parking', 'Pet Friendly']",/listings/commercial-property-for-rent-runda-3708122,commercial-property,rent,"KSh 400,000
 / month"
Commercial Property with Backup Generator at Westlands,"Westlands, Westlands Area",,,,19/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Parking']",/listings/commercial-property-for-rent-westlands-area-3708071,commercial-property,rent,"KSh 120,000
 / month"
Office in Kilimani,Kilimani,,,,19/07/2024,[],/listings/office-for-rent-kilimani-3708037,commercial-property,rent,"KSh 50,000
 / month"
Office in Kilimani,Kilimani,,,,19/07/2024,[],/listings/office-for-rent-kilimani-3708031,commercial-property,rent,"KSh 60,000
 / month"
Furnished Commercial Property with Fibre Internet in Westlands Area,"Westlands Area, Westlands",,,,11/04/2024,"['Aircon', 'CCTV', 'Fibre Internet', 'Furnished']",/listings/furnished-commercial-property-for-rent-westlands-area-3615023,commercial-property,rent,"KSh 590,739
 / month"
Warehouse in Industrial Area,Industrial Area,,,,26/07/2024,[],/listings/warehouse-for-rent-industrial-area-3709804,commercial-property,rent,"KSh 70
 / month"
Furnished 60 m² Commercial Property with Fibre Internet in Westlands Area,"Westlands Area, Westlands",,,60 m²,11/04/2024,"['Aircon', 'CCTV', 'Fibre Internet', 'Furnished']",/listings/furnished-60-m2-commercial-property-for-rent-westlands-area-3615015,commercial-property,rent,"KSh 88,389
 / month"
Commercial Property with Backup Generator in Lavington,Lavington,,,,19/07/2024,"['Alarm', 'Backup Generator', 'CCTV', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Wheelchair Access']",/listings/commercial-property-for-rent-lavington-3707966,commercial-property,rent,"KSh 316,500
 / month"
Office with Service Charge Included at Lavington,Lavington,,,,12/07/2024,"['Aircon', 'Balcony', 'Garden', 'Kids Play Area', 'Parking', 'Pet Friendly', 'Service Charge Included']",/listings/office-for-rent-lavington-3706154,commercial-property,rent,"KSh 350,000
 / month"
Commercial Property with Fibre Internet in Machakos County,Machakos County,,,,04/07/2024,"['Fibre Internet', 'Garden', 'Parking']",/listings/commercial-property-for-rent-machakos-3657574,commercial-property,rent,"KSh 65,000
 / month"
Commercial Property with Service Charge Included in Runda,"Runda, Westlands",,,,18/07/2024,"['Backup Generator', 'Balcony', 'Electric Fence', 'Garden', 'Parking', 'Service Charge Included']",/listings/commercial-property-for-rent-runda-3707790,commercial-property,rent,"KSh 550,000
 / month"
"2,945 ft² Office with Parking in Ruaraka",Ruaraka,,,2945 ft²,18/07/2024,['Parking'],/listings/2945-ft2-office-for-rent-ruaraka-3707753,commercial-property,rent,"KSh 147,250
 / month"
Office with Backup Generator at Limuru Road,"limuru road, Parklands, Westlands",,,,16/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Wheelchair Access']",/listings/office-for-rent-parklands-3565761,commercial-property,rent,"KSh 100
 / month"
0.5 ac Commercial Property with Service Charge Included in Lavington,Lavington,,,,27/07/2024,"['Alarm', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Wheelchair Access']",/listings/05-ac-commercial-property-for-rent-lavington-3707731,commercial-property,rent,"KSh 450,000
 / month"
Commercial Property with Service Charge Included at Lavington,Lavington,,,,18/07/2024,"['Backup Generator', 'Electric Fence', 'Garden', 'Gated Community', 'Parking', 'Service Charge Included']",/listings/commercial-property-for-rent-lavington-3707676,commercial-property,rent,"KSh 300,000
 / month"
Warehouse with Service Charge Included in Eastern ByPass,"Eastern ByPass, Ruiru",,,,27/06/2024,"['CCTV', 'Parking', 'Service Charge Included']",/listings/warehouse-for-rent-eastern-bypass-3694871,commercial-property,rent,"KSh 139,000
 / month"
Warehouse with Backup Generator in Mlolongo,Mlolongo,,,,17/07/2024,"['Backup Generator', 'Electric Fence']",/listings/warehouse-for-rent-mlolongo-3707513,commercial-property,rent,"KSh 170,000
 / month"
Commercial Property with Fibre Internet in Runda,"Runda, Westlands",,,,24/07/2024,"['Alarm', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Pet Friendly', 'Wheelchair Access']",/listings/commercial-property-for-rent-runda-3707506,commercial-property,rent,"KSh 400,000
 / month"
Commercial Property in Karen,Karen,,,,17/07/2024,[],/listings/commercial-property-for-rent-karen-3707443,commercial-property,rent,"KSh 600,000
 / month"
"5,527 ft² Warehouse with Parking in Mombasa Road",Mombasa Road,,,5527 ft²,17/07/2024,['Parking'],/listings/5527-ft2-warehouse-for-rent-mombasa-road-3707424,commercial-property,rent,"KSh 237,661
 / month"
Warehouse with Service Charge Included in Ruiru,Ruiru,,,,16/07/2024,"['Backup Generator', 'Service Charge Included']",/listings/warehouse-for-rent-ruiru-3707187,commercial-property,rent,"KSh 213,500
 / month"
