Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Warehouse in Industrial Area,Industrial Area,,,,05/02/2024,[],/listings/warehouse-for-sale-industrial-area-3641764,commercial-property,sale,"KSh 60,000,000"
Warehouse with Backup Generator in Mlolongo,Mlolongo,,,,27/06/2024,"['Backup Generator', 'CCTV', 'Electric Fence', 'Parking']",/listings/warehouse-for-sale-mlolongo-3641498,commercial-property,sale,"KSh 26,000,000"
Furnished Commercial Property with Service Charge Included in Kikambala,Kikambala,,,,22/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included']",/listings/furnished-commercial-property-for-sale-kikambala-3637353,commercial-property,sale,"KSh 85,000,000"
Commercial Property in Industrial Area,Industrial Area,,,,05/02/2024,[],/listings/commercial-property-for-sale-industrial-area-3635452,commercial-property,sale,"KSh 450,000,000"
"10,000 ft² Commercial Property with Parking at Nyali","nyali, Mkomani, Nyali",,,10000 ft²,06/05/2024,"['Balcony', 'Electric Fence', 'Garden', 'Parking']",/listings/10000-ft2-commercial-property-for-sale-mkomani-3634082,commercial-property,sale,"KSh 55,000,000"
Commercial Property with Backup Generator in Tudor,"Tudor, Mombasa Island",,,,22/07/2024,"['Backup Generator', 'Balcony', 'Electric Fence', 'Parking']",/listings/commercial-property-for-sale-tudor-3632515,commercial-property,sale,"KSh 70,000,000"
"Furnished 1,900 ft² Office with Service Charge Included at Waiyaki Way","Waiyaki Way, Westlands Area, Westlands",,,1900 ft²,18/04/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-1900-ft2-office-for-sale-westlands-area-3630406,commercial-property,sale,"KSh 28,652,000"
Commercial Property in Nairobi CBD,Nairobi CBD,,,,06/06/2024,[],/listings/commercial-property-for-sale-nairobi-cbd-3631261,commercial-property,sale,Price not communicated
Commercial Property with Service Charge Included at Runda Grove,"55, Runda grove, Gigiri, Westlands",,,,26/04/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/commercial-property-for-sale-gigiri-3630868,commercial-property,sale,"KSh 750,000,000"
Commercial Property with Backup Generator at Runda Grove,"34, Runda grove, Runda, Westlands",,,,26/04/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Wheelchair Access']",/listings/commercial-property-for-sale-runda-3630858,commercial-property,sale,"KSh 750,000,000"
Office in Parklands,"Parklands, Westlands",,,,18/03/2024,[],/listings/office-for-sale-parklands-3629139,commercial-property,sale,"KSh 22,500,000"
Office in Westlands Area,"Westlands Area, Westlands",,,,18/03/2024,[],/listings/office-for-sale-westlands-area-3629134,commercial-property,sale,"KSh 60,297,050"
Warehouse in Eastern ByPass,"Eastern ByPass, Ruiru",,,,27/06/2024,[],/listings/warehouse-for-sale-eastern-bypass-3626727,commercial-property,sale,"KSh 34,272,000"
Commercial Property in Kitisuru,"Kitisuru, Westlands",,,,18/03/2024,[],/listings/commercial-property-for-sale-kitisuru-3624626,commercial-property,sale,"KSh 115,000,000"
"4,066.4 ft² Office in Westlands Area","Westlands Area, Westlands",,,4066 ft²,05/02/2024,[],/listings/40664-ft2-office-for-sale-westlands-area-3624095,commercial-property,sale,"KSh 13,500"
