Location,Bedrooms,Bathrooms,Date,Amenities,Property Type,Payment_type,Price,Sub_county
Ngong,4.0,5.0,2024-07-30,"['Balcony', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,14500000,Langata
Lavington,5.0,6.0,2024-07-30,"['BBQ', 'Backup Generator', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",houses,sale,75000000,Dagoretti North
Ngong,3.0,3.0,2024-07-30,"['Balcony', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",houses,sale,13800000,Langata
Thika,5.0,5.0,2024-07-30,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,60000000,Roysambu
"La-marina Estate, Mtwapa",3.0,4.0,2024-01-07,"['Aircon', 'Alarm', 'Balcony', 'Borehole', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Serviced', 'Shopping Centre', 'Swimming Pool', 'Walk In Closet']",houses,sale,38500000,Unknown
Lavington,6.0,6.0,2024-04-06,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Serviced', 'Walk In Closet']",houses,sale,87000000,Dagoretti North
Lavington,5.0,6.0,2024-07-26,"['Alarm', 'BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Wheelchair Access']",houses,sale,80000000,Dagoretti North
Nanyuki,3.0,4.0,2024-07-30,"['BBQ', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'En Suite', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool']",houses,sale,25000000,Unknown
"0730J, Syokimau Estate, Syokimau",4.0,5.0,2024-07-30,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Walk In Closet', 'Wheelchair Access']",houses,sale,13500000,Embakasi South
"Runda, Westlands",6.0,6.0,2024-07-30,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,158000000,Westlands
