Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
0.5 ac Land in Nyari,"Nyari, Westlands",,,,27/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/05-ac-land-for-sale-nyari-3698272,land,sale,"KSh 65,000,000"
0.5 ac Land in Redhill,Redhill,,,,27/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/05-ac-land-for-sale-red-hill-3698270,land,sale,"KSh 22,000,000"
0.5 ac Land in Karen,Karen,,,,27/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/05-ac-land-for-sale-karen-3698269,land,sale,"KSh 40,000,000"
1 ac Land in Karen,Karen,,,1 ac,27/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/1-ac-land-for-sale-karen-3698268,land,sale,"KSh 55,000,000"
5 ac Commercial Land in South B,South B,,,5 ac,06/06/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/5-ac-commercial-land-for-sale-south-b-3697982,land,sale,"KSh 800,000,000"
Land at Isinya,Isinya,,,,06/06/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/land-for-sale-isinya-3698189,land,sale,"KSh 1,000,000"
500 m² Residential Land at Kiambu Road,"Anmer, Kiambu road, Kiambu Road",,,500 m²,04/06/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/500-m2-residential-land-for-sale-kiambu-road-3569038,land,sale,"KSh 5,499,000"
1 ac Land in Westlands Area,"Westlands Area, Westlands",,,1 ac,28/06/2024,"['Hospital', 'School', 'Shopping Centre']",/listings/1-ac-land-for-sale-westlands-area-3698019,land,sale,"KSh 450,000,000"
1 ac Land in Nyari,"Nyari, Westlands",,,1 ac,28/06/2024,"['Hospital', 'School', 'Shopping Centre']",/listings/1-ac-land-for-sale-nyari-3698015,land,sale,"KSh 60,000,000"
1 ac Land in Kitisuru,"Kitisuru, Westlands",,,1 ac,28/06/2024,"['Hospital', 'School', 'Shopping Centre']",/listings/1-ac-land-for-sale-kitisuru-3698013,land,sale,"KSh 120,000,000"
Land in Ridgeways,Ridgeways,,,,05/06/2024,[],/listings/land-for-sale-ridgeways-3698002,land,sale,"KSh 51,000,000"
Residential Land at Karen,"karen, Karen",,,,09/07/2024,[],/listings/residential-land-for-sale-karen-3681875,land,sale,"KSh 35,000,000"
